Duration,Tags,Time,Trainer,Trazadone,Tired?,Weather,Recording
8:00,Aced it,25/03/2023 2:25 PM,Kristia K,No,,,Yes
5:30,Aced it,29/03/2023 12:15 PM,Kristia K,No,,,Yes
9:00,Aced it,31/03/2023 3:20 PM,Kristia K,No,Yes,Rainy,Yes
11:00,Struggled,02/04/2023 6:30 PM,"Seth Olsen, Kristia K",No,No,Sunny,Yes
3:00,Aced it,04/04/2023 12:00 PM,Kristia K,No,No,Sunny,No
20:00,Okay,04/04/2023 6:30 PM,"Kristia K, Seth Olsen",Yes,Yes,,Yes
9:00,Okay,05/04/2023 4:20 PM,Kristia K,No,No,Cloudy,Yes
4:00,Struggled,05/04/2023 5:40 PM,Kristia K,No,No,Cloudy,Yes
4:20,Aced it,11/04/2023 6:20 PM,Kristia K,No,Yes,Cloudy,Yes
8:30,Okay,12/04/2023 3:00 PM,Seth Olsen,No,No,Rainy,Yes
10:00,Struggled,13/04/2023 8:41 PM,"Kristia K, Seth Olsen",No,Yes,Cloudy,Yes
9:30,Okay,14/04/2023 12:00 AM,Seth Olsen,No,No,Cloudy,Yes
7:35,Aced it,14/04/2023 12:40 PM,Kristia K,No,No,Cloudy,Yes
15:30,Aced it,15/04/2023 4:00 PM,Seth Olsen,No,Yes,Sunny,Yes
5:00,Okay,16/04/2023 2:50 PM,Kristia K,No,No,Cloudy,Yes
15:00,Aced it,17/04/2023 6:00 PM,"Kristia K, Seth Olsen",Yes,Yes,Sunny,Yes
4:10,Struggled,18/04/2023 8:00 PM,"Kristia K, Seth Olsen",No,No,Sunny,Yes
